day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,mean_virtue,mean_eudaimonia,swf_utility,swf_eudaimonia,swf_penalty,social_welfare,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,nudge_N1,nudge_N2,nudge_N3,nudge_N4,nudge_N5,label
1,C,0,0.6551,0.3636,0.2594,0.015,4,12,0,0.1965,0.2609,0,0.4444,5,0.007142857142857143,0.5094076709471527,35.0,17.8293,0.0,52.8293,0.5784,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C-noN3
2,C,0,0.6631,0.3648,0.2619,0.0215,2,17,0,0.201,0.3292,0,0.45,6,0.015714285714285715,0.5207168746657261,35.0,18.2251,0.0,53.2251,0.616,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,6,2,2,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,C-noN3
3,C,0,0.6586,0.3642,0.2631,0.054,9,20,0,0.2265,0.3756,0,0.2812,8,0.02714285714285715,0.5393159058774781,35.0,18.8761,0.0,53.8761,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,15,3,3,3,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,C-noN3
4,C,0,0.6656,0.3647,0.2651,0.0622,3,17,0,0.2371,0.4379,1,0.3478,9,0.04,0.5518660816814076,35.0,19.3153,0.0201,54.2146,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,18,4,4,4,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,C-noN3
5,C,0,0.6543,0.366,0.2676,0.0935,9,18,0,0.2558,0.4927,2,0.3333,7,0.05000000000000001,0.5645647154435329,35.0,19.7598,0.0364,54.5776,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,27,5,5,5,0,0,0,0,0,2,0,0,0,4,0,0,4,0,0,4,0,0,C-noN3
6,C,0,0.6522,0.3676,0.2704,0.1082,5,16,0,0.2684,0.5309,3,0.3182,9,0.06285714285714285,0.5734472821242426,35.0,20.0707,0.0664,54.7385,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,32,6,6,6,0,0,0,0,0,2,0,0,0,5,0,0,5,0,0,5,0,0,C-noN3
7,C,0,0.6583,0.3688,0.2729,0.1107,2,15,0,0.2789,0.5587,3,0.4,7,0.07285714285714287,0.5810136379312302,35.0,20.3355,0.0664,55.0033,0.696,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,34,7,7,7,0,0,0,0,1,3,1,0,0,6,0,0,6,0,0,6,0,0,C-noN3
8,C,0,0.6509,0.3708,0.2759,0.1325,7,15,0,0.2955,0.584,4,0.3913,4,0.07857142857142857,0.5876602728398501,35.0,20.5681,0.1018,55.0593,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,41,8,8,8,0,0,0,0,2,3,2,0,0,7,0,0,7,0,0,7,0,0,C-noN3
9,C,0,0.6453,0.374,0.2796,0.145,5,12,0,0.3061,0.6035,6,0.3333,6,0.08714285714285713,0.5892824704957488,35.0,20.6249,0.1743,54.7535,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,46,9,9,9,0,0,0,0,3,3,3,0,0,8,0,0,8,0,0,8,0,0,C-noN3
10,C,0,0.632,0.3763,0.2829,0.1692,8,14,0,0.3276,0.5849,8,0.3478,7,0.09714285714285713,0.5911354901566266,35.0,20.6897,0.2654,54.363,0.696,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,54,10,10,10,0,0,0,0,4,3,4,0,1,9,0,0,9,0,0,9,0,0,C-noN3
11,C,0,0.6245,0.3806,0.2874,0.1775,4,10,0,0.3328,0.5888,8,0.5714,3,0.10142857142857144,0.587943944299689,35.0,20.578,0.2452,54.3519,0.696,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,58,11,11,11,0,0,0,0,5,4,5,0,1,10,0,0,10,0,0,10,0,0,C-noN3
12,C,0,0.6166,0.3845,0.2916,0.1895,5,11,0,0.3388,0.5933,9,0.4375,3,0.1057142857142857,0.5843605932848771,35.0,20.4526,0.2827,54.0393,0.696,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,63,12,12,12,0,0,0,0,6,5,6,0,1,11,0,0,11,0,0,11,0,0,C-noN3
13,C,0,0.6136,0.3865,0.2946,0.2012,5,16,0,0.3547,0.5809,10,0.4762,3,0.11,0.5823475526082111,35.0,20.3822,0.272,54.0222,0.696,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,68,13,13,13,0,0,0,0,7,6,7,0,1,12,0,0,12,0,0,12,0,0,C-noN3
14,C,0,0.609,0.3892,0.2981,0.213,5,13,0,0.3719,0.564,10,0.4737,5,0.11714285714285716,0.5798012027182532,35.0,20.293,0.272,53.9331,0.696,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,73,14,14,14,0,0,0,0,8,7,8,0,1,13,0,0,13,0,0,13,0,0,C-noN3
