label,burnout_count_mean,burnout_count_std,cum_FC_A1_mean,cum_FC_A1_std,cum_FC_A2_mean,cum_FC_A2_std,cum_FC_A3_mean,cum_FC_A3_std,cum_FC_B1_mean,cum_FC_B1_std,cum_FC_B2_mean,cum_FC_B2_std,cum_FC_B3_mean,cum_FC_B3_std,cum_FC_B4_mean,cum_FC_B4_std,cum_FC_C1_mean,cum_FC_C1_std,cum_FC_C2_mean,cum_FC_C2_std,cum_FC_C3_mean,cum_FC_C3_std,cum_M1_mean,cum_M1_std,cum_M2_mean,cum_M2_std,cum_M3_mean,cum_M3_std,cum_M4_mean,cum_M4_std,cum_M5_mean,cum_M5_std,cum_acute_events_mean,cum_acute_events_std,gini_fatigue_mean,gini_fatigue_std,mean_acute_dependence_mean,mean_acute_dependence_std,mean_eudaimonia_mean,mean_eudaimonia_std,mean_fatigue_mean,mean_fatigue_std,mean_isolation_mean,mean_isolation_std,mean_sdh_risk_mean,mean_sdh_risk_std,mean_virtue_mean,mean_virtue_std,nudge_N1_mean,nudge_N1_std,nudge_N2_mean,nudge_N2_std,nudge_N3_mean,nudge_N3_std,nudge_N4_mean,nudge_N4_std,nudge_N5_mean,nudge_N5_std,social_welfare_mean,social_welfare_std,swf_eudaimonia_mean,swf_eudaimonia_std,swf_penalty_mean,swf_penalty_std,swf_utility_mean,swf_utility_std,total_nudge_interventions_mean,total_nudge_interventions_std
A,18.1,0.8755950357709121,96.0,0.0,22.6,5.777350411544878,94.0,0.0,67.3,5.478239782184701,84.6,2.065591117977288,94.0,0.0,1.5,1.9578900207451218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1,5.506561742341787,0.0,0.0,0.8,1.0327955589886444,1174.4,34.62240764463258,0.025840000000000002,0.005739957413701875,0.9810399999999999,0.005383761592872452,0.04660999999999995,0.030625459633738965,0.8933899999999999,0.011458470908265048,0.94191,0.011952447448117041,0.9878600000000001,0.007833999971633648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.63435,0.6871168641504879,0.9321999999999999,0.6125091926747803,0.25956999999999997,0.07542280895797444,20.0,0.0,0.0,0.0
B,23.6,1.3498971154211061,0.0,0.0,59.4,1.7126976771553508,94.0,0.0,61.1,6.806043066438988,94.0,0.0,85.0,3.7416573867739413,5.4,3.438345855527367,0.0,0.0,0.0,0.0,0.0,0.0,99.4,0.6992058987801019,98.7,1.567021236472423,38.2,1.6865480854231356,0.0,0.0,0.4,0.5163977794943222,978.7,30.25465987983412,0.02419,0.004728976868438057,0.9752599999999999,0.010706508923703038,0.0059039999999999995,0.0032350964265209915,0.9020199999999999,0.009565307685124974,0.80806,0.024945995002538274,0.86133,0.024545787147017037,0.118,0.020720360357226745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.01538,0.4953911738324683,0.1476,0.08087741066302478,0.42645999999999995,0.09616704448221564,25.0,0.0,0.0,0.0
C,23.9,1.1972189997378648,0.0,0.0,27.4,6.131883886702356,93.9,0.3162277660168401,34.6,3.977715704047012,93.6,0.6992058987800996,68.3,3.4657049948186747,6.9,1.5238839267549946,0.0,0.0,1.0,0.0,0.0,0.0,99.1,0.7378647873726214,99.4,0.6992058987801012,69.6,4.62361090250659,0.4,0.5163977794943222,0.9,0.7378647873726218,932.4,39.314119600977975,0.02356,0.005244298491377724,0.96469,0.012210419048228175,0.42846673249686607,0.030936717527371753,0.9014200000000001,0.00694258997461002,0.7521,0.025049018610183715,0.78697,0.03275532357071474,0.2484,0.028500292396160903,0.0,0.0,0.6,0.8432740427115678,97.1,1.286683937707921,0.6,0.6992058987801011,0.0,0.0,33.46919,0.7988585112521482,10.71167,0.7734261927725662,0.44851,0.07277452927440417,25.0,0.0,98.3,0.8232726023485636
C-noN2,23.4,1.1737877907772671,0.0,0.0,27.0,6.782329983125267,93.9,0.3162277660168401,33.0,5.57773351022717,93.6,0.6992058987800996,68.0,3.126943839882286,6.8,1.2292725943057183,1.5,1.9578900207451218,1.0,0.0,0.0,0.0,99.0,1.05409255338946,99.0,0.942809041582064,69.7,5.716448003592594,0.0,0.0,1.0,0.8164965809277259,936.9,42.077837925022294,0.02255,0.004584575589226699,0.9664400000000001,0.01131775399783701,0.4308640749625224,0.027795300736282568,0.90321,0.005774936267084571,0.75454,0.026941962314080442,0.7890699999999999,0.03190705425311321,0.2492,0.03163963758747349,0.0,0.0,0.8,1.0327955589886444,97.1,1.286683937707921,0.5,0.7071067811865476,0.0,0.0,33.49008,0.8633148734191185,10.771600000000001,0.6948951335753236,0.45633,0.07772770205445848,25.0,0.0,98.4,0.8432740427115692
C-noN3,23.4,1.2649110640673518,0.0,0.0,60.1,2.1317702607092635,94.0,0.0,62.8,7.03641322771134,94.0,0.0,85.9,3.034981237357341,6.5,3.4399612400917157,97.7,1.2516655570345723,1.0,0.0,0.0,0.0,99.2,1.229272594305719,99.1,1.5238839267549915,37.3,2.311805451253293,0.4,0.5163977794943222,0.7,0.6749485577105528,995.3,47.00839168583508,0.026439999999999998,0.004100731642036578,0.97754,0.008634838993544936,0.006255999999999999,0.002704478590124989,0.89825,0.006588078458684114,0.8080999999999999,0.024527444945520904,0.8623900000000001,0.030728902428242437,0.11200000000000002,0.019413626371414718,0.0,0.0,0.6,0.8432740427115678,97.7,0.9486832980505131,0.1,0.31622776601683794,0.0,0.0,23.20566,0.3081289600151213,0.1564,0.0676119647531247,0.39015,0.05629225820069163,25.0,0.0,98.4,0.8432740427115691
C-onlyL1,23.1,1.4491376746189437,0.0,0.0,59.5,2.068278940998476,94.0,0.0,60.7,6.254775952999615,94.0,0.0,85.3,4.029061098237818,7.5,3.472111109333276,0.0,0.0,1.0,0.0,0.0,0.0,98.8,1.2292725943057194,98.9,1.286683937707919,37.9,3.071373199943852,0.0,0.0,0.4,0.5163977794943222,998.8,40.58680683287232,0.02747,0.005723644914834524,0.9775500000000001,0.005509436349472514,0.006656,0.0030441608951491967,0.89781,0.009532220214736006,0.8092900000000001,0.024296613847292516,0.86425,0.02961963500412823,0.11439999999999999,0.02155715916142734,64.6,3.169297153067923,0.0,0.0,0.0,0.0,32.2,2.820559440174155,0.0,0.0,23.10103,0.3315683105418185,0.1664,0.07610402237872992,0.41308,0.06461617960438908,25.0,0.0,96.8,0.9189365834726761
