label,burnout_count_mean,burnout_count_std,cum_FC_A1_mean,cum_FC_A1_std,cum_FC_A2_mean,cum_FC_A2_std,cum_FC_A3_mean,cum_FC_A3_std,cum_FC_B1_mean,cum_FC_B1_std,cum_FC_B2_mean,cum_FC_B2_std,cum_FC_B3_mean,cum_FC_B3_std,cum_FC_B4_mean,cum_FC_B4_std,cum_FC_C1_mean,cum_FC_C1_std,cum_FC_C2_mean,cum_FC_C2_std,cum_FC_C3_mean,cum_FC_C3_std,cum_M1_mean,cum_M1_std,cum_M2_mean,cum_M2_std,cum_M3_mean,cum_M3_std,cum_M4_mean,cum_M4_std,cum_M5_mean,cum_M5_std,cum_acute_events_mean,cum_acute_events_std,gini_fatigue_mean,gini_fatigue_std,mean_acute_dependence_mean,mean_acute_dependence_std,mean_fatigue_mean,mean_fatigue_std,mean_isolation_mean,mean_isolation_std,mean_sdh_risk_mean,mean_sdh_risk_std,total_nudge_interventions_mean,total_nudge_interventions_std
A,17.8,1.095445115010332,96.0,0.0,20.0,6.324555320336759,94.0,0.0,69.8,6.0166435825965285,85.0,1.8708286933869707,94.0,0.0,1.4,2.073644135332772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.6,5.94138031100518,0.0,0.0,0.4,0.5477225575051662,1158.8,36.813041167499335,0.0246,0.0029631064780058104,0.97872,0.004061649911058288,0.89592,0.004102072646845773,0.93452,0.012500079999743964,0.9906200000000001,0.0073937135459794575,0.0,0.0
B,23.4,1.8165902124584952,0.0,0.0,59.0,1.870828693386971,94.0,0.0,63.2,6.0166435825965285,94.0,0.0,84.4,4.159326868617085,5.8,3.8340579025361627,0.0,0.0,0.0,0.0,0.0,0.0,99.6,0.5477225575051667,99.4,0.8944271909999167,38.8,1.303840481040529,0.0,0.0,0.4,0.5477225575051662,964.8,25.48921340488953,0.02452,0.005176581883830293,0.97658,0.0034273896772908236,0.9019199999999999,0.00766694202404059,0.79436,0.025757193170064148,0.8594799999999999,0.030396496508643883,0.0,0.0
C,24.0,1.4142135623730951,0.0,0.0,25.4,6.348228099241552,93.8,0.44721359549995715,32.6,4.159326868617084,93.2,0.8366600265340751,69.2,3.7682887362833544,6.6,1.51657508881031,0.0,0.0,1.0,0.0,0.0,0.0,98.8,0.836660026534074,99.4,0.8944271909999153,71.2,4.816637831516918,0.4,0.5477225575051661,1.0,0.7071067811865476,931.8,43.06622806794206,0.02202,0.003691476669301868,0.96654,0.013847490747424246,0.9031399999999999,0.004162090820729409,0.7383200000000001,0.026721938552432867,0.7874800000000001,0.039581839270049074,97.8,0.8366600265340751
