day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,label
1,B,0,0.6596,0.3628,0.2588,0.0112,3,15,0,0.2228,0.2853,0,0.3158,5,0.5588,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B
2,B,0,0.6568,0.3637,0.2611,0.033,6,15,0,0.2533,0.3257,0,0.24,6,0.6752,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,B
3,B,0,0.6634,0.3642,0.2631,0.042,3,19,0,0.2796,0.3834,0,0.2609,6,0.7305,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,B
4,B,0,0.6609,0.3685,0.2676,0.0502,3,9,0,0.2831,0.4364,0,0.3846,3,0.7847,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,B
5,B,0,0.6654,0.3697,0.2701,0.058,3,17,0,0.3052,0.4889,0,0.2857,5,0.8378,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,B
6,B,0,0.6681,0.3717,0.2731,0.065,3,16,0,0.3226,0.5242,3,0.3158,6,0.8899,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,B
7,B,0,0.6539,0.3763,0.2778,0.087,7,9,0,0.3382,0.5345,4,0.375,2,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,28,7,7,7,0,0,0,0,1,0,1,0,0,0,0,0,0,B
8,B,0,0.6469,0.3795,0.2816,0.1045,6,13,0,0.3633,0.5376,7,0.3158,2,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,34,8,8,8,0,0,0,0,2,0,2,0,0,0,0,0,0,B
9,B,0,0.6297,0.3815,0.2846,0.1407,11,15,0,0.4116,0.4786,7,0.2593,3,0.99,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,45,9,9,9,0,1,0,0,3,0,3,0,0,0,0,0,0,B
10,B,0,0.6302,0.3865,0.2896,0.137,1,8,0,0.4143,0.4929,7,0.5556,2,0.99,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,46,10,10,10,0,1,0,0,4,1,4,0,1,0,0,0,0,B
