label,burnout_count_mean,burnout_count_std,cum_FC_A1_mean,cum_FC_A1_std,cum_FC_A2_mean,cum_FC_A2_std,cum_FC_A3_mean,cum_FC_A3_std,cum_FC_B1_mean,cum_FC_B1_std,cum_FC_B2_mean,cum_FC_B2_std,cum_FC_B3_mean,cum_FC_B3_std,cum_FC_B4_mean,cum_FC_B4_std,cum_FC_C1_mean,cum_FC_C1_std,cum_FC_C2_mean,cum_FC_C2_std,cum_FC_C3_mean,cum_FC_C3_std,cum_M1_mean,cum_M1_std,cum_M2_mean,cum_M2_std,cum_M3_mean,cum_M3_std,cum_M4_mean,cum_M4_std,cum_M5_mean,cum_M5_std,cum_acute_events_mean,cum_acute_events_std,gini_fatigue_mean,gini_fatigue_std,mean_acute_dependence_mean,mean_acute_dependence_std,mean_fatigue_mean,mean_fatigue_std,mean_isolation_mean,mean_isolation_std,mean_sdh_risk_mean,mean_sdh_risk_std,total_nudge_interventions_mean,total_nudge_interventions_std
A,17.666666666666668,1.1547005383792517,1.6666666666666667,0.5773502691896257,29.666666666666668,2.516611478423583,94.0,0.0,79.33333333333333,3.7859388972001837,90.0,1.0,94.0,0.0,2.6666666666666665,3.0550504633038935,0.0,0.0,0.0,0.0,0.0,0.0,53.666666666666664,10.214368964029708,100.0,0.0,70.66666666666667,2.309401076758502,0.0,0.0,0.3333333333333333,0.5773502691896258,1121.0,27.2213151776324,0.021500000000000002,0.0036510272527057372,0.9822000000000001,0.003143246729100338,0.9001333333333333,0.009908245724311327,0.9174000000000001,0.014550257729676112,0.9881333333333333,0.003008875759039136,0.0,0.0
B,22.666666666666668,1.5275252316519472,0.0,0.0,56.666666666666664,4.932882862316248,93.66666666666667,0.5773502691896278,63.666666666666664,4.618802153517007,94.0,0.0,83.66666666666667,4.041451884327379,6.333333333333333,3.511884584284246,0.0,0.0,0.0,0.0,0.0,0.0,99.33333333333333,1.1547005383792526,99.0,1.7320508075688772,39.666666666666664,3.785938897200182,0.0,0.0,0.6666666666666666,0.5773502691896258,968.3333333333334,59.5175044279692,0.027733333333333332,0.004900340124249878,0.9756,0.005973273809227215,0.8981333333333333,0.008015817695864425,0.7788333333333334,0.022533160748846034,0.8736666666666667,0.023107646642038956,0.0,0.0
C,25.0,0.0,0.0,0.0,27.333333333333332,7.023769168568493,93.33333333333333,1.1547005383792495,33.0,5.5677643628300215,93.0,1.0,65.66666666666667,7.571877794400364,5.333333333333333,0.5773502691896258,0.0,0.0,1.0,0.0,0.0,0.0,99.0,1.0,99.0,1.0,69.33333333333333,5.507570547286102,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.1547005383792517,912.3333333333334,24.986663109213545,0.01746666666666667,0.005600297611139371,0.9636,0.0003605551275463592,0.9090666666666666,0.005154932912592875,0.7181666666666667,0.01892097601428985,0.7968666666666667,0.022353150411817346,97.66666666666667,1.5275252316519452
